report,technique_id,technique_name,confidence,flagged,chunk_id,heading_path,evidence,reason
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1110.003,Password Spraying,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:0,Hide Your RDP: Password Spray Leads to RansomHub Deployment,password spray,The excerpt explicitly mentions 'password spray' and a commonly used password.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.001,Remote Desktop Protocol,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,exposed RDP server,The excerpt mentions 'an exposed RDP server' and 'logged into a computer using the Remote Desktop Protocol (RDP)'
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1048,Exfiltration Over Alternative Protocol,90,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,using SFTP,The excerpt states 'Rclone was used to exfiltrate data to a remote server using SFTP'
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1003.001,LSASS Memory,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,LSASS memory access,"The excerpt mentions 'Mimikatz and Nirsoft were used to harvest credentials, with evidence of LSASS memory access'"
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1210,Exploitation of Remote Services,70,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,executed using remote services,"The excerpt states 'The threat actor deployed RansomHub ransomware network wide, which spread over SMB and was executed using remote services'"
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.002,SMB/Windows Admin Shares,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:1,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Key Takeaways,spread over SMB,The excerpt mentions 'SMB' in the context of spreading RansomHub ransomware
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021.001,Remote Desktop Protocol,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,logged in via RDP,The excerpt explicitly mentions logging into a computer using RDP.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1110.003,Password Spraying,90,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,attempted logins against multiple accounts,The excerpt describes the attacker attempting logins against multiple accounts with known malicious IPs.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1003.001,LSASS Memory,95,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:3,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,extract stored credentials,The excerpt mentions using Mimikatz and Nirsoft CredentialsFileView to extract stored credentials from LSASS memory.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1110.003,Password Spraying,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,password spray attack targeting an internet-facing RDP server,The threat actor attempted logins against multiple accounts using one password.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1190,Exploit Public-Facing Application,50,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,internet-facing RDP server,The intrusion began with a password spray attack on an internet-facing RDP server.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1563.002,RDP Hijacking,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,used RDP to move laterally,The threat actor used RDP to move laterally to two domain controllers.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1003.001,LSASS Memory,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,extract stored credentials and interact with LSASS,Credential access tools were used to extract stored credentials and interact with LSASS memory.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1049,System Network Connections Discovery,50,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:4,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,various <mark>`net`</mark> commands,"The threat actor ran a series of discovery commands, including various net commands to enumerate users and computers."
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021,Remote Services,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:5,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,used RDP,The threat actor used RDP to move laterally.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1078,Valid Accounts,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:5,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,credential harvesting,The threat actor utilized Mimikatz for credential harvesting.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1021,Remote Services,100,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,used RDP to connect,The excerpt explicitly mentions using RDP to connect to hosts.
dfir-2025-06-30-hide-your-rdp-password-spray-leads-to-ransomhub-deployment,T1071.002,File Transfer Protocols,80,0,e4b7bec4-92bd-4b8e-9acd-ff92138f6793:7,Hide Your RDP: Password Spray Leads to RansomHub Deployment > Case Summary,exfiltrate files over SFTP,The excerpt describes using SFTP for file exfiltration over port 443.
